,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,
,22-ene,"7,00",6,3,,,,,22-feb,"3,00",2,0,,,,,22-mar,"3,00",3,0,,,,,22-abr,"6,00",4,0,,,,,22-may,"1,00",1,0,,,,,22-jun,"4,00",2,0,,,,,22-jul,"6,00",8,0,,,,,22-ago,"2,00",5,0,,,,,22-sept,"5,00",1,4,,,,,22-oct,"7,00",6,0,,,,,22-nov,"3,00",0,3,0,5,,,22-dic,"5,00",0,0,0,0,,,,,1000,600,350,500,500
,23-ene,"1,00",5,0,,,,,23-feb,"4,00",2,0,,,,,23-mar,"4,00",2,0,,,,,23-abr,"7,00",7,0,,,,,23-may,"2,00",3,0,,,,,23-jun,"5,00",4,7,,,,,23-jul,"7,00",19,5,,,,,23-ago,"3,00",7,0,,,,,23-sept,"6,00",8,4,,,,,23-oct,"1,00",2,0,,,,,23-nov,"4,00",6,4,6,4,,,23-dic,"6,00",6,3,1,4,,,,,11/08/2025,20/08/2025,4/10/2027,10/07/2028,#DIV/0!
,24-ene,"2,00",2,0,,,,,24-feb,"5,00",2,0,,,,,24-mar,"5,00",5,3,,,,,24-abr,"1,00",5,5,,,,,24-may,"3,00",3,4,,,,,24-jun,"6,00",5,5,,,,,24-jul,"1,00",2,0,,,,,24-ago,"4,00",9,0,,,,,24-sept,"7,00",13,6,,,,,24-oct,"2,00",0,0,,,,,24-nov,"5,00",0,3,1,7,,,24-dic,"7,00",5,7,4,6,,,,,1500,750,500,750,750
,25-ene,"3,00",2,1,,,,,25-feb,"6,00",0,2,,,,,25-mar,"6,00",6,5,,,,,25-abr,"2,00",0,0,,,,,25-may,"4,00",5,0,,,,,25-jun,"7,00",18,13,,,,,25-jul,"2,00",1,4,,,,,25-ago,"5,00",7,0,,,,,25-sept,"1,00",9,10,,,,,25-oct,"3,00",0,0,,,,,25-nov,"6,00",2,4,3,3,,,25-dic,"1,00",3,6,1,3,,,,,30/11/2025,16/10/2025,5/12/2028,12/4/2030,#DIV/0!
,26-ene,"4,00",0,0,,,,,26-feb,"7,00",1,3,,,,,26-mar,"7,00",8,0,,,,,26-abr,"3,00",5,0,,,,,26-may,"5,00",3,0,,,,,26-jun,"1,00",5,1,,,,,26-jul,"3,00",8,3,,,,,26-ago,"6,00",12,4,,,,,26-sept,"2,00",0,0,,,,,26-oct,"4,00",4,0,,,,,26-nov,"7,00",11,8,1,6,,,26-dic,"2,00",4,2,2,5,,,,,2000,1000,650,1000,1000
,27-ene,"5,00",2,0,,,,,27-feb,"1,00",5,1,,,,,27-mar,"1,00",1,0,,,,,27-abr,"4,00",2,5,,,,,27-may,"6,00",3,7,,,,,27-jun,"2,00",2,0,,,,,27-jul,"4,00",10,7,,,,,27-ago,"7,00",16,1,,,,,27-sept,"3,00",5,4,,,,,27-oct,"5,00",0,9,,,,,27-nov,"1,00",6,5,6,0,,,27-dic,"3,00",3,2,0,2,,,,,20/3/2026,20/1/2026,7/2/2030,13/1/2032,#DIV/0!
,28-ene,"6,00",8,6,,,,,28-feb,"2,00",4,0,,,,,28-mar,"2,00",3,4,,,,,28-abr,"5,00",3,0,,,,,28-may,"7,00",15,12,,,,,28-jun,"3,00",3,0,,,,,28-jul,"5,00",6,6,,,,,28-ago,"1,00",8,4,,,,,28-sept,"4,00",0,0,,,,,28-oct,"6,00",4,5,,,,,28-nov,"2,00",0,0,0,0,,,28-dic,"4,00",2,0,2,1,,,,,,,,,
,29-ene,"7,00",14,1,,,,,,,,,,,,,29-mar,"3,00",3,0,,,,,29-abr,"6,00",9,0,,,,,29-may,"1,00",3,0,,,,,29-jun,"4,00",2,0,,,,,29-jul,"6,00",10,6,,,,,29-ago,"2,00",1,0,,,,,29-sept,"5,00",4,3,,,,,29-oct,"7,00",7,9,,,,,29-nov,"3,00",0,0,0,0,,,29-dic,"5,00",0,7,3,3,,,,,CFC,JCR,JSP,DMP,DSS
,30-ene,"1,00",9,5,,,,,,,,,,,,,30-mar,"4,00",3,1,,,,,30-abr,"7,00",12,0,,,,,30-may,"2,00",2,0,,,,,30-jun,"5,00",4,1,,,,,30-jul,"7,00",8,2,,,,,30-ago,"3,00",0,3,,,,,30-sept,"6,00",0,4,,,,,30-oct,"1,00",4,4,,,,,30-nov,"4,00",0,0,0,0,,,30-dic,"6,00",3,4,6,3,,,Total,2.868,1649,952,126,141,0
,31-ene,"2,00",1,5,,,,,,,,,,,,,31-mar,"5,00",7,6,,,,,,,,,,,,,31-may,"3,00",3,4,,,,,,,,,,,,,31-jul,"1,00",8,8,,,,,31-ago,"4,00",0,0,,,,,,,,,,,,,31-oct,"2,00",5,4,,,,,,7,,,,,,,31-dic,"7,00",4,2,11,10,,,Media,"7,86","4,52","2,61","0,35","0,39",0
