BIRRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,CFC,JCR,JSP,DMP,DSS,,,,,,,,,,,,,,
,21-ene,"7,00",6,9,5,3,,,21-feb,"3,00",1,2,0,8,,,21-mar,"3,00",1,0,0,0,,,21-abr,"6,00",3,6,1,6,,,21-may,"1,00",2,8,2,1,,,21-jun,"4,00",0,7,6,2,,,21-jul,"6,00",2,0,2,1,,,21-ago,"2,00",4,4,2,5,,,21-sept,"5,00",0,0,0,0,,,21-oct,"7,00",8,4,6,4,,,21-nov,"3,00",1,1,0,0,,,21-dic,"5,00",3,0,1,1,,,,,,,,,,,,,,,
,22-ene,"1,00",5,3,0,0,,,22-feb,"4,00",2,0,0,0,,,22-mar,"4,00",3,3,0,6,,,22-abr,"7,00",5,8,5,7,,,22-may,"2,00",0,4,2,0,,,22-jun,"5,00",2,0,0,1,,,22-jul,"7,00",8,7,1,6,,,22-ago,"3,00",5,2,0,5,,,22-sept,"6,00",4,4,0,2,,,22-oct,"1,00",5,0,2,4,,,22-nov,"4,00",2,2,1,1,,,22-dic,"6,00",11,1,2,5,,,,,,,,,,,,,,,
,23-ene,"2,00",0,0,0,0,,,23-feb,"5,00",0,0,0,1,,,23-mar,"5,00",4,4,0,7,,,23-abr,"1,00",11,6,0,6,,,23-may,"3,00",2,4,0,3,,,23-jun,"6,00",6,5,1,5,,,23-jul,"1,00",5,1,1,1,,,23-ago,"4,00",6,1,0,11,,,23-sept,"7,00",16,6,3,5,,,23-oct,"2,00",3,0,0,1,,,23-nov,"5,00",6,4,4,5,,,23-dic,"7,00",7,7,2,2,,,,,,,,,,,,,,,
,24-ene,"3,00",0,0,0,0,,,24-feb,"6,00",6,6,0,4,,,24-mar,"6,00",3,11,1,5,,,24-abr,"2,00",0,0,0,6,,,24-may,"4,00",0,0,2,0,,,24-jun,"7,00",5,7,2,15,,,24-jul,"2,00",1,0,2,0,,,24-ago,"5,00",10,3,4,6,,,24-sept,"1,00",4,5,2,6,,,24-oct,"3,00",2,4,3,0,,,24-nov,"6,00",3,6,1,7,,,24-dic,"1,00",11,1,4,6,5,,,,,,,,,,,,,,
,25-ene,"4,00",0,0,0,0,,,25-feb,"7,00",7,6,2,8,,,25-mar,"7,00",9,11,1,3,,,25-abr,"3,00",4,2,0,0,,,25-may,"5,00",2,3,0,2,,,25-jun,"1,00",10,4,2,0,,,25-jul,"3,00",3,0,6,3,,,25-ago,"6,00",2,12,9,7,,,25-sept,"2,00",0,0,0,0,,,25-oct,"4,00",3,3,0,3,,,25-nov,"7,00",8,10,0,1,,,25-dic,"2,00",11,0,0,3,2,,,,,,,,,,,,,,
,26-ene,"5,00",2,0,0,0,,,26-feb,"1,00",6,0,0,0,,,26-mar,"1,00",7,5,2,0,,,26-abr,"4,00",0,1,2,8,,,26-may,"6,00",7,1,0,6,,,26-jun,"2,00",8,1,0,2,,,26-jul,"4,00",4,2,8,5,,,26-ago,"7,00",3,6,0,9,,,26-sept,"3,00",2,3,1,1,,,26-oct,"5,00",4,2,0,8,,,26-nov,"1,00",6,6,2,0,,,26-dic,"3,00",4,5,0,0,0,,,,,,,,,,,,,,
,27-ene,"6,00",5,2,1,6,,,27-feb,"2,00",0,0,0,2,,,27-mar,"2,00",3,0,0,0,,,27-abr,"5,00",4,4,0,1,,,27-may,"7,00",5,4,8,11,,,27-jun,"3,00",0,0,0,0,,,27-jul,"5,00",2,2,12,4,,,27-ago,"1,00",3,4,1,3,,,27-sept,"4,00",5,2,3,3,,,27-oct,"6,00",3,2,1,1,,,27-nov,"2,00",2,0,0,0,,,27-dic,"4,00",6,2,5,1,6,,,,,,,,,,,,,,
,28-ene,"7,00",3,3,2,3,,,28-feb,"3,00",2,0,6,1,,,28-mar,"3,00",1,0,3,2,,,28-abr,"6,00",1,0,2,0,,,28-may,"1,00",3,0,0,0,,,28-jun,"4,00",4,3,1,7,,,28-jul,"6,00",5,5,7,10,,,28-ago,"2,00",0,0,0,1,,,28-sept,"5,00",0,0,1,2,,,28-oct,"7,00",9,2,5,1,,,28-nov,"3,00",3,1,0,0,,,28-dic,"5,00",6,12,1,6,1,,,,,,,,,,,,,,
,29-ene,"1,00",6,3,0,2,,,,,,,,,,,29-mar,"4,00",2,0,1,6,,,29-abr,"7,00",11,7,7,10,,,29-may,"2,00",0,0,0,0,,,29-jun,"5,00",1,1,1,12,,,29-jul,"7,00",3,2,3,5,,,29-ago,"3,00",0,1,0,3,,,29-sept,"6,00",5,8,6,2,,,29-oct,"1,00",2,0,0,0,,,29-nov,"4,00",8,5,3,0,,,29-dic,"6,00",9,9,4,1,2,,,,CFC,JCR,JSP,DMP,DSS,,,,,,
,30-ene,"2,00",0,0,0,0,,,,,,,,,,,30-mar,"5,00",1,3,1,0,,,30-abr,"1,00",13,3,15,12,,,30-may,"3,00",3,0,0,9,,,30-jun,"6,00",5,1,2,12,,,30-jul,"1,00",4,6,6,7,,,30-ago,"4,00",0,0,0,1,,,30-sept,"7,00",11,2,0,3,,,30-oct,"2,00",5,0,1,0,,,30-nov,"5,00",1,0,0,3,,,30-dic,"7,00",10,9,0,3,5,,Total,4.487,1453,1098,650,1256,30,,,,,,
,31-ene,"3,00",0,0,0,0,,,,,,,,,,,31-mar,"6,00",2,3,1,4,,,,,,,,,,,31-may,"4,00",0,0,0,0,,,,,,,,,,,31-jul,"2,00",7,0,1,8,,,31-ago,"5,00",5,5,0,2,,,,,,,,,,,31-oct,"3,00",4,3,0,4,,,,,,,,,,,31-dic,"1,00",12,4,4,6,9,,Media,"12,29","3,98","3,01","1,78","3,44","0,08",,,,,,
